"STATION","NAME","DATE","PRCP","TMAX","TMIN","TOBS"
"USC00042319","DEATH VALLEY, CA US","2018-08-01","0.00","120","96","103"
"USC00042319","DEATH VALLEY, CA US","2018-08-02","0.00","121","97","105"
"USC00042319","DEATH VALLEY, CA US","2018-08-03","0.00","120","98","104"
"USC00042319","DEATH VALLEY, CA US","2018-08-04","0.00","119","97","101"
"USC00042319","DEATH VALLEY, CA US","2018-08-05","0.00","117","88","101"
"USC00042319","DEATH VALLEY, CA US","2018-08-06","0.00","119","85","95"
"USC00042319","DEATH VALLEY, CA US","2018-08-07","0.00","121","80","97"
"USC00042319","DEATH VALLEY, CA US","2018-08-08","0.00","122","85","103"
"USC00042319","DEATH VALLEY, CA US","2018-08-09","0.00","122","90","106"
"USC00042319","DEATH VALLEY, CA US","2018-08-10","0.00","119","98","102"
"USC00042319","DEATH VALLEY, CA US","2018-08-11","0.00","119","97","102"
"USC00042319","DEATH VALLEY, CA US","2018-08-12","0.00","112","93","103"
"USC00042319","DEATH VALLEY, CA US","2018-08-13","0.00","117","94","105"
"USC00042319","DEATH VALLEY, CA US","2018-08-14","0.00","118","95","102"
"USC00042319","DEATH VALLEY, CA US","2018-08-15","0.00","117","95","101"
"USC00042319","DEATH VALLEY, CA US","2018-08-16","0.00","117","95","100"
"USC00042319","DEATH VALLEY, CA US","2018-08-17","0.00","116","93","104"
"USC00042319","DEATH VALLEY, CA US","2018-08-18","0.00","119","97","104"
"USC00042319","DEATH VALLEY, CA US","2018-08-19","0.00","122","92","104"
"USC00042319","DEATH VALLEY, CA US","2018-08-20","0.00","119","99","103"
"USC00042319","DEATH VALLEY, CA US","2018-08-21","0.00","117","96","96"
"USC00042319","DEATH VALLEY, CA US","2018-08-22","0.00","115","92","98"
"USC00042319","DEATH VALLEY, CA US","2018-08-23","0.00","115","91","96"
"USC00042319","DEATH VALLEY, CA US","2018-08-24","0.00","113","88","98"
"USC00042319","DEATH VALLEY, CA US","2018-08-25","0.00","113","88","96"
"USC00042319","DEATH VALLEY, CA US","2018-08-26","0.00","114","87","95"
"USC00042319","DEATH VALLEY, CA US","2018-08-27","0.00","111","86","94"
"USC00042319","DEATH VALLEY, CA US","2018-08-28","0.00","109","83","94"
"USC00042319","DEATH VALLEY, CA US","2018-08-29","0.00","112","88","96"
"USC00042319","DEATH VALLEY, CA US","2018-08-30","0.00","113","91","95"
"USC00042319","DEATH VALLEY, CA US","2018-08-31","0.00","109","83","94"